date,state,positive,probableCases,negative,pending,totalTestResultsSource,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20201107,GU,5113.0,79.0,66394.0,,posNeg,71507.0,82.0,,19.0,,10.0,,3403.0,A,11/7/2020 03:40,2020-11-07T03:40:00Z,11/06 22:40,89.0,,2020-11-07T03:40:00Z,70403.0,,,5034.0,,,,71428.0,209.0,7.0,,,,,,,699.0,79.0,66,36,367,71507,403,71507,1,0,bb9e82b1db9e909479250ee6c90c124ef7fe48ef,0,0,0,0,0,
20201107,HI,15923.0,232.0,295153.0,,totalTestEncountersViral,556096.0,69.0,1147.0,13.0,,9.0,,11958.0,B,11/6/2020 21:00,2020-11-06T21:00:00Z,11/06 16:00,219.0,1147.0,2020-11-06T21:00:00Z,,15635.0,,15691.0,,,556096.0,308090.0,,,,,,,,,,,15,138,0,311076,4293,311076,0,9,4d3550549f4b12c590ff3a7f0ee572a06875e473,0,0,0,0,0,
20201107,IA,137228.0,,791031.0,,posNeg,928259.0,901.0,,194.0,,72.0,,100359.0,A+,11/7/2020 00:00,2020-11-07T24:00:00Z,11/06 19:00,1829.0,,2020-11-07T24:00:00Z,,,,137228.0,,,,929957.0,,,,68947.0,4017.0,64890.0,93647.0,12045.0,,,19,3718,2524,928259,6242,928259,11,0,6698e803644154346ed031d5b662b39ec4fc9f3e,0,0,0,0,0,
20201107,ID,70909.0,9799.0,341978.0,,totalTestsPeopleViral,403088.0,320.0,2825.0,90.0,574.0,,,31969.0,A,11/6/2020 19:00,2020-11-06T19:00:00Z,11/06 14:00,679.0,2825.0,2020-11-06T19:00:00Z,547929.0,,,61110.0,630.0,49.0,,403088.0,,,,,,,,,17332.0,,16,1330,3322,412887,4367,412887,8,37,495ff7e113ac314a4f9ea66793cdb954cb732077,0,0,0,0,0,
20201107,IL,477978.0,6259.0,7835569.0,,posNeg,8313547.0,4250.0,,813.0,,367.0,,,A,11/7/2020 00:00,2020-11-07T24:00:00Z,11/06 19:00,10488.0,,2020-11-07T24:00:00Z,8313547.0,,,447491.0,10154.0,334.0,,,,,,,,,,,,,17,12438,85980,8313547,98418,8313547,91,0,6032e536add081ace8bd2f5d8694e01a944407b0,0,0,0,0,0,
20201107,IN,205722.0,,1588676.0,,totalTestsViral,3167518.0,2036.0,18273.0,559.0,3527.0,195.0,,131277.0,A+,11/6/2020 23:59,2020-11-06T23:59:00Z,11/06 18:59,4592.0,18273.0,2020-11-06T23:59:00Z,3167518.0,195456.0,,,4348.0,244.0,,1794398.0,,,,,,,,,,,18,4899,12394,1794398,50449,1794398,45,268,41740612355ec333cd4ae9c5fd3019453b065ae4,0,0,0,0,0,
20201107,KS,97633.0,,578687.0,,posNeg,676320.0,693.0,4067.0,183.0,1122.0,62.0,337.0,2808.0,A+,11/6/2020 10:00,2020-11-06T10:00:00Z,11/06 05:00,1166.0,4067.0,2020-11-06T10:00:00Z,,,,,,,,676320.0,,,,,,,,,,,20,0,0,676320,0,676320,0,0,b78b6c72993692320fabfa0e9cad6eb75bc67799,0,0,0,0,0,
20201107,KY,119661.0,19846.0,1947149.0,,totalTestsViral,2046964.0,1153.0,7844.0,299.0,1989.0,,,21513.0,B,11/7/2020 00:00,2020-11-07T24:00:00Z,11/06 19:00,1561.0,7844.0,2020-11-07T24:00:00Z,2046964.0,,,99815.0,1534.0,27.0,,,87413.0,,,,,,,,72974.0,,21,2156,-132222,2066810,-130545,2066810,17,136,abdc0e5860465e95f0ec06826171f0dcd00d9637,0,0,0,0,0,
20201107,LA,191715.0,5020.0,2674761.0,,posNeg,2866476.0,644.0,,,,81.0,,172210.0,A,11/6/2020 13:00,2020-11-06T13:00:00Z,11/06 08:00,6016.0,,2020-11-06T13:00:00Z,,,,186695.0,5787.0,229.0,,2861456.0,,,,,,,,,,,22,0,0,2866476,0,2866476,0,0,8f105e5c02b8098f8487a17744e36d6c93320137,0,0,0,0,0,
20201107,MA,169576.0,4640.0,2712191.0,,totalTestsViral,6639954.0,535.0,13373.0,127.0,,60.0,,131646.0,A+,11/7/2020 08:00,2020-11-07T08:00:00Z,11/07 03:00,10129.0,13373.0,2020-11-07T08:00:00Z,6639954.0,212158.0,,164936.0,9903.0,226.0,,2877127.0,,,,128053.0,11842.0,,202372.0,,,,25,2302,21606,2881767,92286,2881767,23,0,75a5fd6a24349ad5ef56bfd90e907d9df9e581f5,0,0,0,0,0,
20201107,MD,152915.0,,1862399.0,,totalTestsViral,3624193.0,632.0,17627.0,153.0,,,,8284.0,A,11/7/2020 10:00,2020-11-07T10:00:00Z,11/07 05:00,4201.0,17627.0,2020-11-07T10:00:00Z,3624193.0,184180.0,,152915.0,4052.0,149.0,,2015314.0,,,,150653.0,14048.0,136605.0,,,,,24,1410,10734,2015314,36496,2015314,7,90,ea6933a47b821394777b5d31bf56cbc52ad5897f,0,0,0,0,0,
20201107,ME,7603.0,841.0,668621.0,,posNeg,676224.0,42.0,523.0,14.0,,4.0,,5906.0,A+,11/6/2020 23:59,2020-11-06T23:59:00Z,11/06 18:59,152.0,523.0,2020-11-06T23:59:00Z,675186.0,8110.0,666689.0,6762.0,151.0,1.0,,,12247.0,367.0,11868.0,,,,,,42.0,25.0,23,159,0,676224,159,676224,2,10,5921b2e8dcb056b3063958505bea8dbf4f2dc385,0,0,0,0,0,
20201107,MI,229003.0,21209.0,4984958.0,,posNeg,5213961.0,2425.0,,484.0,,202.0,,128981.0,A+,11/7/2020 00:00,2020-11-07T24:00:00Z,11/06 19:00,7945.0,,2020-11-07T24:00:00Z,5326663.0,266355.0,4984958.0,207794.0,7578.0,367.0,,,338299.0,,,,,,,,,,26,6494,0,5213961,6494,5213961,65,0,a1bd3442116f284957b82fa2021429ba07463b16,0,0,0,0,0,
20201107,MN,174954.0,1277.0,1808489.0,,totalTestEncountersViral,3035394.0,1038.0,11394.0,224.0,2889.0,,,142800.0,A,11/6/2020 17:00,2020-11-06T17:00:00Z,11/06 12:00,2625.0,11394.0,2020-11-06T17:00:00Z,,,,173677.0,2597.0,28.0,3035394.0,1982166.0,,,,,,,,,40019.0,,27,4647,14947,1983443,44429,1983443,34,201,8e285d03474124f9cd7db136724a6cce684df476,0,0,0,0,0,
20201107,MO,205066.0,,1373345.0,,totalTestsViral,2672288.0,1926.0,,466.0,,236.0,,,A+,11/7/2020 00:59,2020-11-07T24:59:00Z,11/06 19:59,3150.0,,2020-11-07T24:59:00Z,2672288.0,231727.0,2435560.0,205066.0,,,,1578411.0,89459.0,5943.0,83302.0,85229.0,3618.0,71709.0,38219.0,,56012.0,9150.0,29,4559,6621,1578411,23011,1578411,19,0,7b8ccd4f1a6cfc25af58a404d6d2bfdc2d251b5c,0,0,0,0,0,
20201107,MP,98.0,,15993.0,,posNeg,16091.0,,4.0,,,,,29.0,D,11/6/2020 00:00,2020-11-06T24:00:00Z,11/05 19:00,2.0,4.0,2020-11-06T24:00:00Z,22633.0,,,98.0,2.0,,,16085.0,,,,,,,,,,,69,0,0,16091,0,16091,0,0,31d1e636121ef18f12668028e9f701cd5ca04710,0,0,0,0,0,
